vm_id,cores,mem
vm_01143,2,4096
vm_01144,2,8192
vm_01145,4,32768
vm_01146,2,8192
vm_01147,4,32768
vm_01148,2,2048
vm_01149,2,4096
vm_01150,4,32768
vm_01151,2,8192
vm_01152,4,32768
vm_01153,2,4096
vm_01154,2,8192
vm_01155,2,4096
vm_01156,2,8192
vm_01157,2,8192
vm_01158,2,2048
vm_01159,2,8192
vm_01160,2,8192
vm_01161,4,32768
vm_01162,4,32768
vm_01163,2,8192
vm_01164,2,8192
vm_01165,2,4096
vm_01166,4,8192
vm_01167,2,4096
vm_01168,8,32768
vm_01169,2,4096
vm_01170,2,8192
vm_01171,2,4096
vm_01172,2,4096
vm_01173,8,32768
vm_01174,2,8192
vm_01175,2,8192
vm_01176,2,8192
vm_01177,2,4096
vm_01178,2,2048
vm_01179,4,8192
vm_01180,4,32768
vm_01181,2,8192
vm_01182,2,8192
vm_01183,4,8192
vm_01184,2,4096
vm_01185,4,32768
vm_01186,4,8192
vm_01187,2,8192
vm_01188,2,4096
vm_01189,2,8192
vm_01190,2,8192
vm_01191,4,65536
vm_01192,2,4096
vm_01193,4,8192
vm_01194,4,32768
vm_01195,4,8192
vm_01196,8,32768
vm_01197,2,4096
vm_01198,2,8192
vm_01199,4,32768
vm_01200,2,8192
vm_01201,24,65536
vm_01202,2,8192
vm_01203,8,32768
vm_01204,4,65536
vm_01205,4,32768
vm_01206,2,8192
vm_01207,8,32768
vm_01208,4,32768
vm_01209,2,2048
vm_01210,24,65536
vm_01211,2,2048
vm_01212,2,8192
vm_01213,2,8192
vm_01214,2,4096
vm_01215,2,8192
vm_01216,4,65536
vm_01217,2,8192
vm_01218,2,8192
vm_01219,24,65536
vm_01220,2,8192
vm_01221,4,65536
vm_01222,2,8192
vm_01223,2,4096
vm_01224,2,8192
vm_01225,2,4096
vm_01226,2,8192
vm_01227,8,32768
vm_01228,2,8192
vm_01229,2,2048
vm_01230,4,32768
vm_01231,2,4096
vm_01232,2,4096
vm_01233,2,4096
vm_01234,4,8192
vm_01235,2,8192
vm_01236,24,65536
vm_01237,2,8192
vm_01238,2,8192
vm_01239,4,32768
vm_01240,2,2048
vm_01241,24,65536
vm_01242,4,65536
vm_01243,2,8192
vm_01244,2,8192
vm_01245,8,32768
vm_01246,8,32768
vm_01247,4,32768
vm_01248,4,32768
vm_01249,4,8192
vm_01250,4,32768
vm_01251,8,32768
vm_01252,2,2048
vm_01253,2,2048
vm_01254,2,2048
vm_01255,4,32768
vm_01256,2,8192
vm_01257,4,32768
vm_01258,2,4096
vm_01259,4,32768
vm_01260,2,8192
vm_01261,2,4096
vm_01262,4,32768
vm_01263,2,8192
vm_01264,2,4096
vm_01265,2,8192
